manufacturer,model,serial_number,manufactured_date,device_type,confidence
ZOLL Medical,R Series ALS,AF19B092223,2019-02-01,Defibrillator / Monitor,100%
ZOLL Medical,R Series ALS,AF19B092456,2019-02-01,Defibrillator / Monitor,100%
ZOLL Medical,R Series ALS,AF19B092482,2019-02-01,Defibrillator / Monitor,100%
ZOLL Medical,R Series ALS,AF19B092446,2019-02-01,Defibrillator / Monitor,100%
ZOLL Medical,R Series ALS,AF19D096889,2019-04-01,Defibrillator / Monitor,100%
ZOLL Medical,R Series ALS,AF19E096912,2019-05-01,Defibrillator / Monitor,100%
ZOLL Medical,R Series ALS,AF19F099133,2019-06-01,Defibrillator / Monitor,100%
ZOLL Medical,R Series ALS,AF19F099132,2019-06-01,Defibrillator / Monitor,100%
ZOLL Medical,R Series ALS,AF19F099189,2019-06-01,Defibrillator / Monitor,100%
ZOLL Medical,R Series ALS,AF19F099267,2019-06-01,Defibrillator / Monitor,100%
ZOLL Medical,R Series ALS,AF19F099254,2019-06-01,Defibrillator / Monitor,100%
ZOLL Medical,R Series ALS,AF19F099305,2019-06-01,Defibrillator / Monitor,100%
ZOLL Medical,R Series ALS,AF19F099263,2019-06-01,Defibrillator / Monitor,100%
ZOLL Medical,R Series ALS,AF19F099134,2019-06-01,Defibrillator / Monitor,100%
ZOLL Medical,R Series ALS,AF19F099298,2019-06-01,Defibrillator / Monitor,100%
Edan Instruments,IM3,262096-M20706520060,2020-01-01,Patient Monitor,100%
Edan Instruments,IM3,261436-M20903720061,2020-01-01,Patient Monitor,100%
Edan Instruments,IM3,261436-M20903720005,2020-01-01,Patient Monitor,100%
Edan Instruments,SE1200EXPRESS,460016-K24700210010,2020-01-01,ECG Machine,60%
Edan Instruments,IM70,260066-M20320530023,2020-01-01,Patient Monitor,100%
Edan Instruments,IM70,260066-M20320530024,2020-01-01,Patient Monitor,100%
Edan Instruments,IM70,260066-M20320530007,2020-01-01,Patient Monitor,100%
Edan Instruments,IM70,260066-M20320530030,2020-01-01,Patient Monitor,100%
Edan Instruments,iT20,M2012320037,2020-01-01,Telemetry Transmitter,100%
Edan Instruments,iT20,M20403290003,2020-01-01,Telemetry Transmitter,100%
Edan Instruments,iT20,M20403290001,2020-01-01,Telemetry Transmitter,100%
LAB CORP.,642E,241013LB348,2020-01-01,Laboratory Centrifuge,60%
Mindray,BENEVISION N15,FS-28042236,2020-01-01,Patient Monitor,60%
Mindray,EPM12MA,AH9-3C001805,2020-01-01,Patient Monitor,60%
Mindray,EPM12MA,AH9-26000860,2020-01-01,Patient Monitor,60%
Welch Allyn,FILAC3000,A2053244X,2020-01-01,Clinical Thermometer,100%
Welch Allyn,FILAC3000,A202057084X,2020-01-01,Clinical Thermometer,100%
Welch Allyn,FILAC3000,A2060906X,2020-01-01,Clinical Thermometer,100%
Welch Allyn,FILAC3000,A2066575X,2020-01-01,Clinical Thermometer,100%
Welch Allyn,FILAC3000,A2057370X,2020-01-01,Clinical Thermometer,100%
Welch Allyn,FILAC3000,A2055074X,2020-01-01,Clinical Thermometer,100%
Welch Allyn,FILAC3000,A2057912X,2020-01-01,Clinical Thermometer,100%
Welch Allyn,FILAC3000,A2057043X,2020-01-01,Clinical Thermometer,100%
Welch Allyn,FILAC3000,A2062842X,2020-01-01,Clinical Thermometer,100%
Welch Allyn,FILAC3000,A2060107X,2020-01-01,Clinical Thermometer,100%
Welch Allyn,FILAC3000,A2066567X,2020-01-01,Clinical Thermometer,100%
Welch Allyn,FILAC3000,A2057032X,2020-01-01,Clinical Thermometer,100%
Welch Allyn,FILAC3000,A206611345X,2020-01-01,Clinical Thermometer,100%
Welch Allyn,FILAC3000,A2066565X,2020-01-01,Clinical Thermometer,100%
Welch Allyn,FILAC3000,A2055919X,2020-01-01,Clinical Thermometer,100%
Welch Allyn,SPOT VITAL SIGNS,201507871,2020-01-01,Vital Signs Monitor,100%
Welch Allyn,SPOT VITAL SIGNS,200810466,2020-01-01,Vital Signs Monitor,100%
Welch Allyn,SPOT VITAL SIGNS,201507902,2020-01-01,Vital Signs Monitor,100%
ZOLL Medical,M SERIES,3T13D131852,2020-01-01,Defibrillator / Monitor,75%
ZOLL Medical,X Series,AR20A045649,2020-01-01,Defibrillator / Monitor,100%
ZOLL Medical,X Series,AR20A045327,2020-01-01,Defibrillator / Monitor,100%
ARJO INC.,FLOWTRON,2100054494,2020-01-01,DVT Compression Pump,60%
ARJO INC.,FLOWTRON,2100053980,2020-01-01,DVT Compression Pump,60%
LINET,ELEGANZA 3,20200275616,2020-02-01,Hospital Electric Bed,100%
ZOLL Medical,X Series,AR20B046467,2020-02-01,Defibrillator / Monitor,100%
ZOLL Medical,X Series,AR20C047049,2020-03-01,Defibrillator / Monitor,100%
ZOLL Medical,X Series,AR20C047039,2020-03-01,Defibrillator / Monitor,100%
Covidien,RAPIDVAC,VL012165X,2021-01-01,Electrosurgical Smoke Evacuator,100%
Covidien,RAPIDVAC,VL012164X,2021-01-01,Electrosurgical Smoke Evacuator,100%
Edan Instruments,F9EXPRESS,560039-M21C11330002,2021-01-01,Fetal Monitor,100%
Edan Instruments,IM3,261436-M21508650086,2021-01-01,Patient Monitor,100%
Edan Instruments,IM3,261436-M21508650088,2021-01-01,Patient Monitor,100%
Edan Instruments,IM3,261436-M21508650067,2021-01-01,Patient Monitor,100%
Edan Instruments,iT20,M21203860030,2021-01-01,Telemetry Transmitter,100%
Edan Instruments,iT20,M21203860028,2021-01-01,Telemetry Transmitter,100%
LAB CORP.,642E,241013LB328,2021-01-01,Laboratory Centrifuge,60%
LINET,ELEGANZA 3,20210147025,2021-01-01,Hospital Electric Bed,100%
LINET,ELEGANZA 3,20210147077,2021-01-01,Hospital Electric Bed,100%
LINET,ELEGANZA 3,20210149187,2021-01-01,Hospital Electric Bed,100%
LINET,ELEGANZA 3,20210101683,2021-01-01,Hospital Electric Bed,100%
LINET,ELEGANZA 3,20210101685,2021-01-01,Hospital Electric Bed,100%
LINET,ELEGANZA 3,20210147060,2021-01-01,Hospital Electric Bed,100%
LINET,ELEGANZA 3,20210147032,2021-01-01,Hospital Electric Bed,100%
Mindray,BENEVISION N15,F5-11025372,2021-01-01,Patient Monitor,60%
Mindray,EPM12MA,AH9-34001722,2021-01-01,Patient Monitor,60%
Mindray,EPM12MA,AH9-26000859,2021-01-01,Patient Monitor,60%
Stryker,1061,2021005801196,2021-01-01,Transport Stretcher,100%
Stryker,1061,2021005801198,2021-01-01,Transport Stretcher,100%
Stryker,1061,2021005801199,2021-01-01,Transport Stretcher,100%
Stryker,1061,2021005801197,2021-01-01,Transport Stretcher,100%
ZOLL Medical,M SERIES,t1k132871,2021-01-01,Defibrillator / Monitor,75%
ZOLL Medical,X Series,AR21A054264,2021-01-01,Defibrillator / Monitor,100%
ARJO INC.,FLOWTRON,2100054522,2021-01-01,DVT Compression Pump,60%
ARJO INC.,FLOWTRON,2100053932,2021-01-01,DVT Compression Pump,60%
Jiangmen Dacheng Medical Equipment Co.,IOB-507,WU202108144EN,2021-08-14,Patient Warming System,100%
Jiangmen Dacheng Medical Equipment Co.,IOB-507,WU202108189EN,2021-08-18,Patient Warming System,100%
Jiangmen Dacheng Medical Equipment Co.,IOB-507,WU202108193EN,2021-08-19,Patient Warming System,100%
Jiangmen Dacheng Medical Equipment Co.,IOB-507,WU202108205EN,2021-08-20,Patient Warming System,100%
Jiangmen Dacheng Medical Equipment Co.,IOB-507,WU202108208EN,2021-08-20,Patient Warming System,100%
American Diagnostic,CE 1434,22192114,2022-01-01,Aneroid Sphygmomanometer (Blood Pressure Monitor),100%
American Diagnostic,CE 1434,22192189,2022-01-01,Aneroid Sphygmomanometer (Blood Pressure Monitor),100%
Edan Instruments,iT20,M22411170006,2022-01-01,Telemetry Transmitter,100%
Edan Instruments,iT20,M22411170008,2022-01-01,Telemetry Transmitter,100%
Mindray,EPM12MA,AH9-3C001824,2022-01-01,Patient Monitor,60%
Mindray,EPM12MA,AH9-3C001789,2022-01-01,Patient Monitor,60%
Stryker,1061,2022005800690,2022-01-01,Transport Stretcher,100%
Stryker,1061,2022005800345,2022-01-01,Transport Stretcher,100%
Stryker,1061,2022005800343,2022-01-01,Transport Stretcher,100%
Stryker,1061,2022005800691,2022-01-01,Transport Stretcher,100%
Stryker,1061,2022005800344,2022-01-01,Transport Stretcher,100%
ZOLL Medical,AEDPLUS,(21) X19G176549,2022-01-01,Defibrillator / Monitor,75%
ARJO INC.,FLOWTRON,2100054527,2022-01-01,DVT Compression Pump,60%
ARJO INC.,FLOWTRON,2100053928,2022-01-01,DVT Compression Pump,60%
BAXTER HEALTHCARE CORP.,SPECTRUM IQ,3757686,2022-01-01,Infusion Pump,75%
BAXTER HEALTHCARE CORP.,SPECTRUM IQ,3757504,2022-01-01,Infusion Pump,75%
BAXTER HEALTHCARE CORP.,SPECTRUM IQ,3757280,2022-01-01,Infusion Pump,75%
BAXTER HEALTHCARE CORP.,SPECTRUM IQ,3757194,2022-01-01,Infusion Pump,75%
BAXTER HEALTHCARE CORP.,SPECTRUM IQ,3757377,2022-01-01,Infusion Pump,75%
BAXTER HEALTHCARE CORP.,SPECTRUM IQ,3827871,2022-01-01,Infusion Pump,75%
BAXTER HEALTHCARE CORP.,SPECTRUM IQ,3828391,2022-01-01,Infusion Pump,75%
BAXTER HEALTHCARE CORP.,SPECTRUM IQ,3816037,2022-01-01,Infusion Pump,75%
BAXTER HEALTHCARE CORP.,SPECTRUM IQ,3828200,2022-01-01,Infusion Pump,75%
BAXTER HEALTHCARE CORP.,SPECTRUM IQ,3822726,2022-01-01,Infusion Pump,75%
BAXTER HEALTHCARE CORP.,SPECTRUM IQ,3831807,2022-01-01,Infusion Pump,75%
BAXTER HEALTHCARE CORP.,SPECTRUM IQ,3830586,2022-01-01,Infusion Pump,75%
BAXTER HEALTHCARE CORP.,SPECTRUM IQ,3831239,2022-01-01,Infusion Pump,75%
BAXTER HEALTHCARE CORP.,SPECTRUM IQ,3782633,2022-01-01,Infusion Pump,75%
BAXTER HEALTHCARE CORP.,SPECTRUM IQ,3830354,2022-01-01,Infusion Pump,75%
BAXTER HEALTHCARE CORP.,SPECTRUM IQ,3825223,2022-01-01,Infusion Pump,75%
BAXTER HEALTHCARE CORP.,SPECTRUM IQ,3825288,2022-01-01,Infusion Pump,75%
BAXTER HEALTHCARE CORP.,SPECTRUM IQ,3785541,2022-01-01,Infusion Pump,75%
BAXTER HEALTHCARE CORP.,SPECTRUM IQ,3825471,2022-01-01,Infusion Pump,75%
BAXTER HEALTHCARE CORP.,SPECTRUM IQ,3785793,2022-01-01,Infusion Pump,75%
BAXTER HEALTHCARE CORP.,SPECTRUM IQ,3825020,2022-01-01,Infusion Pump,75%
BAXTER HEALTHCARE CORP.,SPECTRUM IQ,3823921,2022-01-01,Infusion Pump,75%
BAXTER HEALTHCARE CORP.,SPECTRUM IQ,3823577,2022-01-01,Infusion Pump,75%
BAXTER HEALTHCARE CORP.,SPECTRUM IQ,3805055,2022-01-01,Infusion Pump,75%
BAXTER HEALTHCARE CORP.,SPECTRUM IQ,3826615,2022-01-01,Infusion Pump,75%
BAXTER HEALTHCARE CORP.,SPECTRUM IQ,3826190,2022-01-01,Infusion Pump,75%
BAXTER HEALTHCARE CORP.,SPECTRUM IQ,3826314,2022-01-01,Infusion Pump,75%
BAXTER HEALTHCARE CORP.,SPECTRUM IQ,3826273,2022-01-01,Infusion Pump,75%
BAXTER HEALTHCARE CORP.,SPECTRUM IQ,3827365,2022-01-01,Infusion Pump,75%
BAXTER HEALTHCARE CORP.,SPECTRUM IQ,3827207,2022-01-01,Infusion Pump,75%
BAXTER HEALTHCARE CORP.,SPECTRUM IQ,3827402,2022-01-01,Infusion Pump,75%
BAXTER HEALTHCARE CORP.,SPECTRUM IQ,3817236,2022-01-01,Infusion Pump,75%
BAXTER HEALTHCARE CORP.,SPECTRUM IQ,3827856,2022-01-01,Infusion Pump,75%
BAXTER HEALTHCARE CORP.,SPECTRUM IQ,3827685,2022-01-01,Infusion Pump,75%
BAXTER HEALTHCARE CORP.,SPECTRUM IQ,3827744,2022-01-01,Infusion Pump,75%
BAXTER HEALTHCARE CORP.,SPECTRUM IQ,3827658,2022-01-01,Infusion Pump,75%
BAXTER HEALTHCARE CORP.,SPECTRUM IQ,3827902,2022-01-01,Infusion Pump,75%
BAXTER HEALTHCARE CORP.,SPECTRUM IQ,3827796,2022-01-01,Infusion Pump,75%
ZOLL Medical,AEDPLUS,X22E470885,2022-05-01,Defibrillator / Monitor,100%
ZOLL Medical,X Series,AR22E067679,2022-05-01,Defibrillator / Monitor,100%
ZOLL Medical,AEDPLUS,X22F478419,2022-06-01,Defibrillator / Monitor,100%
ZOLL Medical,X Series,AR22L073058,2022-12-01,Defibrillator / Monitor,100%
Covidien,RAPIDVAC,VL012301X,2023-01-01,Electrosurgical Smoke Evacuator,100%
Edan Instruments,F9EXPRESS,560039-M23909480002,2023-01-01,Fetal Monitor,100%
Edan Instruments,SE1200EXPRESS,M23116470007,2023-01-01,ECG Machine,100%
Edan Instruments,SE1200EXPRESS,460016-M23116470013,2023-01-01,ECG Machine,100%
Edan Instruments,SE1200EXPRESS,460016-M23801490029,2023-01-01,ECG Machine,100%
Edan Instruments,SE1200EXPRESS,460016-M23801490022,2023-01-01,ECG Machine,100%
Edan Instruments,SE1200EXPRESS,460016-M23801490034,2023-01-01,ECG Machine,100%
Edan Instruments,SE1200EXPRESS,460016-M23801490035,2023-01-01,ECG Machine,100%
Edan Instruments,iT20,M23910480001,2023-01-01,Telemetry Transmitter,100%
Mindray,EPM12MA,AH9-3C001806,2023-01-01,Patient Monitor,60%
Mindray,EPM12MA,AH9-3C001781,2023-01-01,Patient Monitor,60%
ARJO INC.,FLOWTRON,2100053978,2023-01-01,DVT Compression Pump,60%
ARJO INC.,FLOWTRON,2100064600,2023-01-01,DVT Compression Pump,60%
ARJO INC.,FLOWTRON,2100054542,2023-01-01,DVT Compression Pump,60%
ZOLL Medical,RSERIES,AF23G169205,2023-07-01,Defibrillator / Monitor,100%
ZOLL Medical,RSERIES,AF23G169292,2023-07-01,Defibrillator / Monitor,100%
ZOLL Medical,RSERIES,AF23G169321,2023-07-01,Defibrillator / Monitor,100%
ZOLL Medical,RSERIES,AF23G169315,2023-07-01,Defibrillator / Monitor,100%
ZOLL Medical,RSERIES,AF23G169217,2023-07-01,Defibrillator / Monitor,100%
ZOLL Medical,AEDPLUS,X23L761535,2023-12-01,Defibrillator / Monitor,100%
ZOLL Medical,RSERIES,AF23L173769,2023-12-01,Defibrillator / Monitor,100%
ZOLL Medical,RSERIES,AF23L173935,2023-12-01,Defibrillator / Monitor,100%
American Diagnostic,CE 1434,C241870143,2024-01-01,Aneroid Sphygmomanometer (Blood Pressure Monitor),100%
American Diagnostic,CE 1434,C241870093,2024-01-01,Aneroid Sphygmomanometer (Blood Pressure Monitor),100%
American Diagnostic,CE 1434,C241843867,2024-01-01,Aneroid Sphygmomanometer (Blood Pressure Monitor),100%
American Diagnostic,CE 1434,C241843922,2024-01-01,Aneroid Sphygmomanometer (Blood Pressure Monitor),100%
American Diagnostic,CE 1434,C241843881,2024-01-01,Aneroid Sphygmomanometer (Blood Pressure Monitor),100%
American Diagnostic,CE 1434,C241843806,2024-01-01,Aneroid Sphygmomanometer (Blood Pressure Monitor),100%
Edan Instruments,IM3,262654-M24705640065,2024-01-01,Patient Monitor,100%
Edan Instruments,IM3,262654-M24903790011,2024-01-01,Patient Monitor,100%
Edan Instruments,IM3,262654-M24903790001,2024-01-01,Patient Monitor,100%
Edan Instruments,SE1200EXPRESS,460016-M246096330015,2024-01-01,ECG Machine,100%
Edan Instruments,SE1200EXPRESS,M24A2930014,2024-01-01,ECG Machine,100%
Edan Instruments,SE1200EXPRESS,M24A02930002,2024-01-01,ECG Machine,100%
Edan Instruments,SE1200EXPRESS,M24A02930001,2024-01-01,ECG Machine,100%
Edan Instruments,iT20,M24402010037,2024-01-01,Telemetry Transmitter,100%
Edan Instruments,iT20,M24402010035,2024-01-01,Telemetry Transmitter,100%
Edan Instruments,iT20,M24402010034,2024-01-01,Telemetry Transmitter,100%
Edan Instruments,iT20,M24408380006,2024-01-01,Telemetry Transmitter,100%
Edan Instruments,iT20,M24408380010,2024-01-01,Telemetry Transmitter,100%
Edan Instruments,iT20,M24408380009,2024-01-01,Telemetry Transmitter,100%
Edan Instruments,iT20,M24408380008,2024-01-01,Telemetry Transmitter,100%
Edan Instruments,iT20,M24408380007,2024-01-01,Telemetry Transmitter,100%
Edan Instruments,iT20,M24408380001,2024-01-01,Telemetry Transmitter,100%
Edan Instruments,iT20,M24408380003,2024-01-01,Telemetry Transmitter,100%
Edan Instruments,iT20,M24408380004,2024-01-01,Telemetry Transmitter,100%
Edan Instruments,iT20,M24A15750012,2024-01-01,Telemetry Transmitter,100%
Edan Instruments,iT20,M24A15750016,2024-01-01,Telemetry Transmitter,100%
Edan Instruments,iT20,M2415750004,2024-01-01,Telemetry Transmitter,100%
Edan Instruments,iT20,M24A15750002,2024-01-01,Telemetry Transmitter,100%
Edan Instruments,iT20,M24A15750003,2024-01-01,Telemetry Transmitter,100%
Edan Instruments,iT20,M24A15750001,2024-01-01,Telemetry Transmitter,100%
Edan Instruments,iT20,M24A15750018,2024-01-01,Telemetry Transmitter,100%
Edan Instruments,iT20,M24A15750019,2024-01-01,Telemetry Transmitter,100%
Edan Instruments,iT20,M24A15750011,2024-01-01,Telemetry Transmitter,100%
Edan Instruments,iT20,M24A15750010,2024-01-01,Telemetry Transmitter,100%
Edan Instruments,iT20,M24A15750009,2024-01-01,Telemetry Transmitter,100%
Edan Instruments,iT20,M24408380002,2024-01-01,Telemetry Transmitter,100%
Edan Instruments,iT20,M24408380005,2024-01-01,Telemetry Transmitter,100%
Mindray,BENEVISION N15,FS-28042613,2024-01-01,Patient Monitor,60%
Mindray,EPM12MA,AH9-3A001717,2024-01-01,Patient Monitor,60%
Mindray,EPM12MA,AH9-3C001814,2024-01-01,Patient Monitor,60%
Welch Allyn,SURETEMPPLUS,(21) 23038261,2024-01-01,Clinical Thermometer,60%
Welch Allyn,SURETEMPPLUS,24519376,2024-01-01,Clinical Thermometer,100%
ZOLL Medical,RSERIES,AF24A174904,2024-01-01,Defibrillator / Monitor,100%
ZOLL Medical,RSERIES,AF24A174867,2024-01-01,Defibrillator / Monitor,100%
ARJO INC.,FLOWTRON,2100054510,2024-01-01,DVT Compression Pump,60%
ARJO INC.,FLOWTRON,2100064601,2024-01-01,DVT Compression Pump,60%
ARJO INC.,FLOWTRON,2100054511,2024-01-01,DVT Compression Pump,60%
LINET,ELEGANZA 4,20240211343,2024-02-11,Hospital Electric Bed,100%
LINET,ELEGANZA 4,20240211435,2024-02-11,Hospital Electric Bed,100%
LINET,ELEGANZA 4,20240217185,2024-02-17,Hospital Electric Bed,100%
LINET,ELEGANZA 4,20240217163,2024-02-17,Hospital Electric Bed,100%
LINET,ELEGANZA 4,20240217171,2024-02-17,Hospital Electric Bed,100%
LINET,ELEGANZA 4,20240217177,2024-02-17,Hospital Electric Bed,100%
LINET,ELEGANZA 4,20240219124,2024-02-19,Hospital Electric Bed,100%
ZOLL Medical,RSERIES,AF24C175990,2024-03-01,Defibrillator / Monitor,100%
ZOLL Medical,RSERIES,AF24C175991,2024-03-01,Defibrillator / Monitor,100%
LINET,ELEGANZA 4,20240315321,2024-03-15,Hospital Electric Bed,100%
ZOLL Medical,RSERIES,AF24E178300,2024-05-01,Defibrillator / Monitor,100%
ZOLL Medical,RSERIES,AF24F178630,2024-06-01,Defibrillator / Monitor,100%
ZOLL Medical,RSERIES,AF24F178395,2024-06-01,Defibrillator / Monitor,100%
Jiangmen Dacheng Medical Equipment Co.,IOB-507,WU202406189EN,2024-06-18,Patient Warming System,100%
Jiangmen Dacheng Medical Equipment Co.,IOB-507,WU202406183EN,2024-06-18,Patient Warming System,100%
Jiangmen Dacheng Medical Equipment Co.,IOB-507,WU202406187EN,2024-06-18,Patient Warming System,100%
Jiangmen Dacheng Medical Equipment Co.,IOB-507,WU202406188EN,2024-06-18,Patient Warming System,100%
Jiangmen Dacheng Medical Equipment Co.,IOB-507,WU202406190EN,2024-06-19,Patient Warming System,100%
Jiangmen Dacheng Medical Equipment Co.,IOB-507,WU202406209EN,2024-06-20,Patient Warming System,100%
Jiangmen Dacheng Medical Equipment Co.,IOB-507,WU202406237EN,2024-06-23,Patient Warming System,100%
Jiangmen Dacheng Medical Equipment Co.,IOB-507,WU202406249EN,2024-06-24,Patient Warming System,100%
Jiangmen Dacheng Medical Equipment Co.,IOB-507,WU202406252EN,2024-06-25,Patient Warming System,100%
Jiangmen Dacheng Medical Equipment Co.,IOB-507,WU202406267EN,2024-06-26,Patient Warming System,100%
Jiangmen Dacheng Medical Equipment Co.,IOB-507,WU202406266EN,2024-06-26,Patient Warming System,100%
Jiangmen Dacheng Medical Equipment Co.,IOB-507,WU20240630EN,2024-06-28,Patient Warming System,100%
ZOLL Medical,RSERIES,AF24G179402,2024-07-01,Defibrillator / Monitor,100%
ZOLL Medical,RSERIES,AF24G179173,2024-07-01,Defibrillator / Monitor,100%
ZOLL Medical,RSERIES,AF24G178993,2024-07-01,Defibrillator / Monitor,100%
ZOLL Medical,RSERIES,AF24G179155,2024-07-01,Defibrillator / Monitor,100%
ZOLL Medical,RSERIES,AF24G179510,2024-07-01,Defibrillator / Monitor,100%
ZOLL Medical,RSERIES,AF24G179180,2024-07-01,Defibrillator / Monitor,100%
ZOLL Medical,RSERIES,AF24G179153,2024-07-01,Defibrillator / Monitor,100%
ZOLL Medical,RSERIES,AF24G179186,2024-07-01,Defibrillator / Monitor,100%
ZOLL Medical,RSERIES,AF24G179403,2024-07-01,Defibrillator / Monitor,100%
ZOLL Medical,RSERIES,AF24G179158,2024-07-01,Defibrillator / Monitor,100%
ZOLL Medical,RSERIES,AF24H179829,2024-08-01,Defibrillator / Monitor,100%
ZOLL Medical,RSERIES,AF24I180367,2024-09-01,Defibrillator / Monitor,100%
ZOLL Medical,X Series,AR25C090387,2025-03-01,Defibrillator / Monitor,100%
ZOLL Medical,RSERIES,AF25G186555,2025-07-01,Defibrillator / Monitor,100%
ZOLL Medical,AEDPLUS,X25I944351,2025-09-01,Defibrillator / Monitor,100%
ZOLL Medical,AEDPLUS,X25I944935,2025-09-01,Defibrillator / Monitor,100%
ZOLL Medical,RSERIES,AF25J188748,2025-10-01,Defibrillator / Monitor,100%
ZOLL Medical,RSERIES,AF25L189983,2025-12-01,Defibrillator / Monitor,100%